#1 
double myTable (1200,3) 
1000000.0,0.0006486111111111111,2.7777777777777784e-08
1016666.6666666669,0.0006501620370370371,2.8711419753086425e-08
1033333.3333333335,0.0006517129629629631,2.9660493827160496e-08
1050000.0,0.0006532638888888889,3.0625e-08
1066666.666666667,0.0006548148148148149,3.1604938271604944e-08
1083333.333333333,0.0006563657407407407,3.2600308641975316e-08
1100000.0,0.0006579166666666668,3.361111111111111e-08
1116666.666666667,0.0006594675925925926,3.4637345679012344e-08
1133333.333333333,0.0006610185185185187,3.5679012345679005e-08
1150000.0,0.0006625694444444446,3.673611111111111e-08
1166666.666666667,0.0006641203703703705,3.780864197530865e-08
1183333.333333333,0.0006656712962962963,3.88966049382716e-08
1200000.0,0.0006672222222222223,4e-08
1216666.666666667,0.0006687731481481483,4.111882716049383e-08
1233333.333333333,0.000670324074074074,4.22530864197531e-08
1250000.0,0.0006718750000000001,4.3402777777777786e-08
1266666.666666667,0.000673425925925926,4.456790123456791e-08
1283333.333333333,0.0006749768518518517,4.574845679012347e-08
1300000.0,0.0006765277777777777,4.694444444444446e-08
1316666.6666666665,0.0006780787037037036,4.815586419753086e-08
1333333.333333333,0.0006796296296296296,4.938271604938272e-08
1350000.0,0.0006811805555555556,5.0625000000000005e-08
1366666.6666666665,0.0006827314814814813,5.188271604938271e-08
1383333.333333333,0.0006842824074074074,5.315586419753087e-08
1400000.0000000002,0.0006858333333333334,5.444444444444445e-08
1416666.666666667,0.0006873842592592593,5.574845679012345e-08
1433333.3333333337,0.0006889351851851852,5.7067901234567904e-08
1450000.0,0.0006904861111111112,5.840277777777778e-08
1466666.666666667,0.000692037037037037,5.975308641975309e-08
1483333.3333333337,0.000693587962962963,6.111882716049383e-08
1500000.0,0.0006951388888888889,6.25e-08
1516666.666666667,0.0006966898148148147,6.38966049382716e-08
1533333.333333333,0.0006982407407407407,6.530864197530864e-08
1550000.0,0.0006997916666666668,6.673611111111111e-08
1566666.666666667,0.0007013425925925926,6.817901234567902e-08
1583333.333333333,0.0007028935185185185,6.963734567901234e-08
1600000.0,0.0007044444444444445,7.111111111111113e-08
1616666.6666666663,0.0007059953703703702,7.26003086419753e-08
1633333.333333333,0.0007075462962962964,7.410493827160494e-08
1650000.0,0.0007090972222222224,7.5625e-08
1666666.6666666663,0.0007106481481481483,7.716049382716051e-08
1683333.333333333,0.0007121990740740741,7.871141975308643e-08
1700000.0000000002,0.0007137500000000001,8.02777777777778e-08
1716666.6666666663,0.000715300925925926,8.185956790123457e-08
1733333.3333333337,0.0007168518518518519,8.345679012345681e-08
1750000.0,0.0007184027777777778,8.506944444444444e-08
1766666.666666667,0.0007199537037037037,8.669753086419753e-08
1783333.3333333337,0.0007215046296296298,8.834104938271608e-08
1800000.0,0.0007230555555555557,9e-08
1816666.666666667,0.0007246064814814817,9.16743827160494e-08
1833333.333333333,0.0007261574074074076,9.33641975308642e-08
1850000.0,0.0007277083333333334,9.506944444444443e-08
1866666.666666667,0.0007292592592592592,9.679012345679014e-08
1883333.333333333,0.0007308101851851853,9.852623456790123e-08
1900000.0,0.000732361111111111,1.0027777777777778e-07
1916666.666666667,0.0007339120370370371,1.0204475308641976e-07
1933333.333333333,0.0007354629629629629,1.0382716049382716e-07
1950000.0,0.0007370138888888888,1.0562500000000002e-07
1966666.6666666663,0.0007385648148148148,1.074382716049383e-07
1983333.333333333,0.0007401157407407407,1.0926697530864198e-07
2000000.0,0.0007416666666666666,1.1111111111111114e-07
2016666.6666666663,0.0007432175925925926,1.1297067901234565e-07
2033333.333333333,0.0007447685185185186,1.148456790123457e-07
2050000.0,0.0007463194444444443,1.167361111111111e-07
2066666.666666667,0.0007478703703703702,1.1864197530864198e-07
2083333.333333333,0.0007494212962962963,1.205632716049383e-07
2100000.0,0.0007509722222222223,1.225e-07
2116666.666666666,0.0007525231481481482,1.2445216049382718e-07
2133333.333333333,0.0007540740740740742,1.2641975308641975e-07
2150000.0,0.000755625,1.2840277777777779e-07
2166666.666666666,0.000757175925925926,1.3040123456790127e-07
